sig,m,eci,d,diam
G?opa[,10,61,5,4
G@o_i[,10,61,5,4
G@QHa[,10,61,5,4
GG?[Xs,10,61,5,4
GGC\A[,10,61,5,4
GK@@W{,10,61,5,4
G?FBHs,10,61,5,4
G?Baps,10,61,5,4
G?Aips,10,61,5,4
G_K_i[,10,61,5,4
G`GOY[,10,61,5,4
G_SsPK,10,61,5,4
GHCKI[,10,61,5,4
GO?YrW,10,62,5,4
G@OsUK,10,62,5,4
G@?]RW,10,62,5,4
GOCQZW,10,62,5,4
G?``is,10,62,5,4
GA?h[s,10,62,5,4
GCS`MK,10,62,5,4
G_?g~_,10,62,5,4
GoCBG{,10,62,5,4
G@AIZo,10,62,5,4
G@o_mK,10,62,5,4
GGWOk[,10,62,5,4
G?opeK,10,62,5,4
G?EarW,10,62,5,4
G_GOzW,10,62,5,4
G`?GzW,10,62,5,4
G?AZRo,10,62,5,4
GG?[rW,10,62,5,4
G?WSnG,10,63,5,4
G?OHlk,10,63,5,4
GIGO[[,10,63,5,4
G?oHhk,10,63,5,4
GO@Axw,10,63,5,4
G?CuRW,10,63,5,4
GEDHPK,10,63,5,4
GCSXJC,10,63,5,4
GGCKnG,10,63,5,4
GB?H]W,10,63,5,4
G?C^FG,10,63,5,4
GG?W|o,10,63,5,4
G_?gzo,10,63,5,4
G?Cm`w,10,64,5,4
G_@@xw,10,64,5,4
GACcX[,10,64,5,4
GG?W~O,10,64,5,4
G??^Bw,10,64,5,4
G`@@W{,10,64,5,4
G?qapg,10,64,5,4
GCSoZC,10,64,5,4
GMCGXK,10,64,5,4
G`?EXw,10,64,5,4
GoCQXW,10,64,5,4
GACHL[,10,64,5,4
G@_IJk,10,64,5,4
G@@HuW,10,64,5,4
G?G]bW,10,64,5,4
G@WSMK,10,64,5,4
G?DcrW,10,65,5,4
G?_ZBk,10,65,5,4
GH?G{w,10,65,5,4
GCGQZW,10,65,5,4
GKCYPK,10,65,5,4
G_op_[,10,65,5,4
GC?ZRW,10,65,5,4
GCWPI[,10,65,5,4
G@GW~?,10,65,5,4
G`o_g[,10,65,5,4
GGE?~G,10,65,5,4
GO@_ys,10,66,5,4
G_oohS,10,66,5,4
GCO_zW,10,66,5,4
GOOXa[,10,66,5,4
G`GIgw,10,66,5,4
G?KuEK,10,66,5,4
GF?IXW,10,67,5,4
GbGGWk,10,67,5,4
GGC\?{,10,67,5,4
G`_YPK,10,68,5,4
GQ?HW{,10,68,5,5
G?B@rs,10,69,5,4
GB?G\[,10,69,5,4
GG?[pw,10,69,5,5
GAAHXs,10,69,5,5
G?DcvG,10,69,5,4
G?o_jk,10,69,5,4
G?C^@w,10,69,5,4
G?DL`w,10,70,5,5
GG?Kxw,10,70,5,5
G?KtaW,10,70,5,5
G@G\aW,10,70,5,5
GG__w{,10,71,5,5
G?Dcpw,10,72,5,5
GG?g{s,10,72,5,5
GGCk_{,10,72,5,5
GKCHI[,10,73,5,5
GB?KZW,10,73,5,5
GG?Xsw,10,73,5,5
GOWOi[,10,74,5,5
G`H?ww,10,74,5,5
G`L?g[,10,74,5,5
G?C^BW,10,75,5,5
GC?irW,10,75,5,5
GKCWZC,10,76,5,5
GK?GzW,10,76,5,5
GB?KX[,10,76,5,5
GWCOY[,10,77,5,5
GESHHK,10,77,5,5
G?hAhk,10,77,5,5
GoWOg[,10,78,5,5
GD?IZW,10,78,5,5
GW@?w{,10,80,5,5
G_wOhK,10,81,5,5
GDOHI[,10,81,5,5
GhCOW[,10,82,5,5
GL?GY[,10,86,5,5
G??Jf{,11,37,5,2
G??_~{,11,37,5,2
G?@Hf{,11,37,5,2
G??gv{,11,37,5,2
G??G~{,11,37,5,2
G??@~{,11,37,5,2
G?CO^{,11,37,5,2
G@?G^{,11,37,5,2
G@?MF{,11,37,5,2
GG?O^{,11,37,5,2
G?G^eW,11,44,5,2
G_?Dzw,11,44,5,2
G?B@~o,11,44,5,2
G??Dz{,11,46,5,3
G??H}{,11,47,5,3
G?@@~s,11,47,5,3
G?@Hvk,11,47,5,3
G?@_~s,11,48,5,3
G??a|{,11,48,5,3
G?CHn[,11,48,5,3
G??H~k,11,48,5,3
G?GQ^w,11,48,5,3
G@hZCc,11,48,5,3
G@GO]{,11,48,5,3
G?G^Mo,11,48,5,3
G?`@~g,11,48,5,3
G@Dc]o,11,48,5,3
G@?G~[,11,48,5,3
G??g~k,11,48,5,3
G?GW}[,11,49,5,3
G??Nb{,11,49,5,3
G??X}[,11,49,5,3
G@?G~w,11,49,5,3
G?@czs,11,49,5,3
G?@XvK,11,49,5,3
G?GZe[,11,49,5,3
G?_ZNo,11,49,5,3
G??g}{,11,49,5,3
G?O_~k,11,49,5,3
G??Xvw,11,49,5,3
GAOpS{,11,49,5,3
G??g~s,11,49,5,3
G??W~[,11,49,5,3
G?@@~w,11,49,5,3
G?DH[{,11,49,5,3
G?CqV[,11,49,5,3
G?AIx{,11,49,5,3
G?@`}s,11,50,5,3
G@AIX{,11,50,5,3
G??tY{,11,50,5,3
G??p}[,11,50,5,3
G??xu[,11,50,5,3
G@?LY{,11,50,5,3
G?GR[{,11,50,5,3
G?GUX{,11,50,5,3
G?`Hnc,11,50,5,3
G?Cq\[,11,50,5,3
G?OtuW,11,50,5,3
G@?I\{,11,50,5,3
G?C_~[,11,50,5,3
G?EBNs,11,50,5,3
G?GQ\{,11,50,5,3
G@IQ]o,11,50,5,3
G?GXm[,11,50,5,3
G@?g}[,11,50,5,3
G@?Y\[,11,50,5,3
G?Cjew,11,50,5,3
G@?MX{,11,50,5,3
GCOjcw,11,50,5,3
G?KVMW,11,50,5,3
GCO_~W,11,50,5,3
G@G[Y[,11,50,5,3
G?CP^[,11,50,5,3
G??Xu{,11,50,5,3
G??ZVw,11,50,5,3
G?KsY[,11,50,5,3
G??W~s,11,50,5,3
